,State Affected_Alabama,State Affected_Arizona,State Affected_Arkansas,State Affected_California,State Affected_Colorado,State Affected_Connecticut,State Affected_Florida,State Affected_Georgia,State Affected_Idaho,State Affected_Illinois,State Affected_Indiana,State Affected_Iowa,State Affected_Kansas,State Affected_Kentucky,State Affected_Louisiana,State Affected_Maryland,State Affected_Massachusetts,State Affected_Michigan,State Affected_Minnesota,State Affected_Mississippi,State Affected_Missouri,State Affected_Montana,State Affected_Nebraska,State Affected_Nevada,State Affected_New Hampshire,State Affected_New Jersey,State Affected_New Mexico,State Affected_New York,State Affected_North Carolina,State Affected_North Dakota,State Affected_Ohio,State Affected_Oklahoma,State Affected_Oregon,State Affected_Pennsylvania,State Affected_South Carolina,State Affected_South Dakota,State Affected_Tennessee,State Affected_Texas,State Affected_Utah,State Affected_Virginia,State Affected_Washington,State Affected_Wisconsin,State Affected_Wyoming,NERC Region_FRCC,NERC Region_MRO,NERC Region_NPCC,NERC Region_RF,NERC Region_SERC,NERC Region_SPP RE,NERC Region_TRE,NERC Region_WECC,Event Type_Cyber Event,Event Type_Other,Event Type_Severe Weather,Event Type_System Operations,Event Type_Transmission / Distribution Interruption,Event Type_Vandalism,scaled_Demand Loss (MW),scaled_Number of Customers Affected,scaled_State Avg Temp (F),scaled_State Avg Windspeed (mph),scaled_State Avg Precipitation (mm),scaled_Monthly Net Energy for Load (GWh),scaled_Monthly Peak Hour Demand (MW),scaled_State Avg Snowfall (mm)
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.09066567794054879,-0.03727910237171297,0.38576473953791207,0.2422685798396801,1.6337313116656536,-0.3738735877359325,-0.128497647439981,-0.2652723275045537
122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.14452919431172256,-0.25062640059011837,0.4019886111933463,-1.56396296121985,-0.5812839289754357,-0.2682526245582222,-0.11124830771298233,-0.2652723275045537
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.14321900067026158,-0.25455860898400673,1.0335339059702673,1.0895121045995786,-0.3933238165582015,-2.288142642248383,-2.065867802698358,-0.2652723275045537
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.07246854403136847,0.28694897469935615,0.6234505316330062,-0.6037905307949335,0.4120000703104618,0.008360415332776086,0.2983690942203331,-0.2652723275045537
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14409246309790225,-0.22956992449784533,0.6255294161119721,-0.6969718215112756,-0.06597571292833627,0.008360415332776086,0.2983690942203331,-0.1337148585187704
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.14409246309790225,-0.23896307060824606,0.7528160004884695,0.07224194628011418,2.968080102660654,-2.04919581932403,-1.8088258800623358,-0.2652723275045537
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.13361091396621436,0.10783354997774598,0.8590574392491345,-0.3728629842370419,0.31952520749885016,-0.18857150511235976,0.06447182650392486,-0.2652723275045537
128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.728663266566769,0.07079831181030792,1.037841504440197,-0.8954884843417436,-0.18557085002848495,0.6306121189665068,1.0289809499939293,-0.2652723275045537
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.14059861338733962,-0.24617767329703277,0.8738406177662252,-0.8759551392381624,-0.4517248945625349,0.6651139711704774,0.45114364122237366,-0.2652723275045537
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.14001630510224583,-0.21290802452374205,0.869429508047416,-0.20422510484279247,-0.5848874192270126,0.8795495255228397,0.9465078887467546,-0.2652723275045537
